title,avail_global,date_release,hours_viewed,language,year,months_out,views_per_month,series
The Witcher: Season 2,Yes,2021-12-17,59.3,English,2021.0,19.0,3.121052631578947,The Witcher
Sky Rojo: Season 3,Yes,2023-01-13,58.5,English,2023.0,6.0,9.75,Sky Rojo
Young Lady and Gentleman,No,,58.5,Spanish,,,,Young Lady and Gentleman
Miraculous: Tales of Ladybug & Cat Noir: Season 1,No,,58.3,English,,,,Miraculous: Tales of Ladybug & Cat Noir
Never Have I Ever: Season 3,Yes,2022-08-12,58.3,English,2022.0,11.0,5.3,Never Have I Ever
The Gray Man,Yes,2022-07-22,58.3,English,2022.0,11.0,5.3,The Gray Man
S.W.A.T. (2017): Season 2,No,,57.9,English,,,,S.W.A.T. (2017)
ONE PIECE: East Blue,No,,57.8,Japanese,,,,ONE PIECE: East Blue
Brooklyn Nine-Nine: Season 1,No,,57.5,English,,,,Brooklyn Nine-Nine
New Amsterdam (2018): Season 4,No,,57.5,English,,,,New Amsterdam (2018)
Workin' Moms: Season 7,No,2023-04-26,57.5,English,2023.0,2.0,28.75,Workin' Moms
Barbie Life in the Dreamhouse: Season 1,Yes,,57.4,English,,,,Barbie Life in the Dreamhouse
The Walking Dead: Season 7,No,,57.4,English,,,,The Walking Dead
The Blacklist: Season 8,No,,57.0,English,,,,The Blacklist
The Sandman: Season 1,Yes,2022-08-05,56.7,English,2022.0,11.0,5.154545454545455,The Sandman
True Spirit,Yes,2023-02-03,56.7,English,2023.0,5.0,11.34,True Spirit
CoComelon: Season 5,No,2022-03-31,56.6,English,2022.0,15.0,3.7733333333333334,CoComelon
The Strays,Yes,2023-02-22,56.5,English,2023.0,4.0,14.125,The Strays
Gilmore Girls: Season 7,Yes,,56.5,English,,,,Gilmore Girls
The Croods,No,,56.4,English,,,,The Croods
Suits (2011): Season 5,Yes,,56.4,English,,,,Suits (2011)
Grizzy and the Lemmings: Season 1,No,,56.3,English,,,,Grizzy and the Lemmings
The Empress: Season 1,Yes,2022-09-29,56.0,Spanish,2022.0,9.0,6.222222222222222,The Empress
Matilda (1996),No,,55.7,English,,,,Matilda (1996)
Outlast: Season 1,Yes,2023-03-10,55.5,English,2023.0,4.0,13.875,Outlast
The Good Doctor: Season 1,No,,55.5,English,,,,The Good Doctor
The Blacklist: Season 4,No,,55.2,English,,,,The Blacklist
CoComelon: Season 7,No,2023-02-14,55.2,English,2023.0,5.0,11.040000000000001,CoComelon
Jane The Virgin: Season 1,Yes,,55.2,English,,,,Jane The Virgin
VINLAND SAGA: Season 2,No,,55.1,Spanish,,,,VINLAND SAGA
The Queen of Flow: Season 1,No,2018-11-09,55.0,Spanish,2018.0,56.0,0.9821428571428571,The Queen of Flow
Brooklyn Nine-Nine: Season 2,No,,54.8,English,,,,Brooklyn Nine-Nine
Carinha de Anjo: Season 1,No,,54.4,English,,,,Carinha de Anjo
Surviving Escobar - Alias JJ: Season 1,No,2017-07-31,54.4,Spanish,2017.0,72.0,0.7555555555555555,Surviving Escobar - Alias JJ
The Circle: Season 5,Yes,2022-12-28,54.4,English,2022.0,6.0,9.066666666666666,The Circle
The Ultimatum: Queer Love: Season 1,Yes,2023-05-24,53.8,English,2023.0,1.0,53.8,The Ultimatum: Queer Love
Never Have I Ever: Season 2,Yes,2021-07-15,53.7,English,2021.0,24.0,2.2375000000000003,Never Have I Ever
Brooklyn Nine-Nine: Season 3,No,,53.6,English,,,,Brooklyn Nine-Nine
¡Que viva México!,Yes,2023-05-11,53.5,English,2023.0,2.0,26.75,¡Que viva México!
Emily in Paris: Season 2,Yes,2021-12-22,53.3,English,2021.0,18.0,2.961111111111111,Emily in Paris
The Last Kingdom: Season 5,No,2022-03-09,53.3,English,2022.0,16.0,3.33125,The Last Kingdom
Full Swing: Season 1,Yes,2023-02-15,53.1,English,2023.0,4.0,13.275,Full Swing
The Walking Dead: Season 8,No,,53.0,English,,,,The Walking Dead
Welcome to Eden: Season 1,Yes,2022-05-06,53.0,Spanish,2022.0,14.0,3.7857142857142856,Welcome to Eden
We Can Be Heroes,Yes,2020-12-25,52.8,English,2020.0,31.0,1.7032258064516128,We Can Be Heroes
Arnold: Limited Series,Yes,2023-06-07,52.5,English,2023.0,1.0,52.5,Arnold: Limited Series
Better Call Saul: Season 1,No,2015-02-08,52.5,English,2015.0,102.0,0.5147058823529411,Better Call Saul
The King's Affection: Season 1,Yes,2021-10-11,52.4,Korean,2021.0,21.0,2.4952380952380953,The King's Affection
Shameless (U.S.): Season 1,No,,52.3,English,,,,Shameless (U.S.)
Missing: Dead or Alive?: Season 1,Yes,2023-05-10,52.2,English,2023.0,2.0,26.1,Missing: Dead or Alive?
Bodyguard: Season 1,Yes,2018-10-24,52.0,English,2018.0,57.0,0.9122807017543859,Bodyguard
Dr. Seuss' The Lorax,No,,52.0,English,,,,Dr. Seuss' The Lorax
It's Okay to Not Be Okay: Season 1,Yes,2020-06-20,51.8,Korean,2020.0,37.0,1.4,It's Okay to Not Be Okay
Vikings (2013): Season 4,No,,51.8,English,,,,Vikings (2013)
A Tourist's Guide to Love,Yes,2023-04-21,51.8,English,2023.0,2.0,25.9,A Tourist's Guide to Love
1899: Season 1,Yes,2022-11-17,51.8,English,2022.0,8.0,6.475,1899
Faraway,Yes,2023-03-08,51.7,English,2023.0,4.0,12.925,Faraway
The Blacklist: Season 5,No,,51.6,English,,,,The Blacklist
Blood & Gold,Yes,2023-05-26,51.6,English,2023.0,1.0,51.6,Blood & Gold
I Am Georgina: Season 2,Yes,2023-03-24,51.6,Spanish,2023.0,3.0,17.2,I Am Georgina
Little Women: Limited Series,No,2022-09-03,51.3,Korean,2022.0,10.0,5.13,Little Women: Limited Series
Grey's Anatomy: Season 2,No,,51.2,English,,,,Grey's Anatomy
The Walking Dead: Season 9,No,,51.2,English,,,,The Walking Dead
The Office (U.S.): Season 3,No,,51.0,English,,,,The Office (U.S.)
The Last Kingdom: Season 1,Yes,2015-12-28,50.9,English,2015.0,91.0,0.5593406593406594,The Last Kingdom
The Endless Night: Limited Series,Yes,2023-01-25,50.8,Portuguese,2023.0,5.0,10.16,The Endless Night: Limited Series
Faithfully Yours,No,2023-05-17,50.6,English,2023.0,1.0,50.6,Faithfully Yours
Masha and the Bear: Season 3,No,,50.4,English,,,,Masha and the Bear
Masha and the Bear: Season 5,No,,50.3,English,,,,Masha and the Bear
The Office (U.S.): Season 5,No,,50.1,English,,,,The Office (U.S.)
2 Hearts,No,,50.0,English,,,,2 Hearts
Suits (2011): Season 6,Yes,,50.0,English,,,,Suits (2011)
Tin & Tina,Yes,2023-05-26,49.7,English,2023.0,1.0,49.7,Tin & Tina
The Blacklist: Season 6,No,,49.6,English,,,,The Blacklist
Friends (1994): Season 6,No,,49.4,English,,,,Friends (1994)
VINLAND SAGA: Season 1,Yes,,49.3,Spanish,,,,VINLAND SAGA
Love Is Blind: Brazil: Season 2,Yes,2022-12-28,49.3,Spanish,2022.0,6.0,8.216666666666667,Love Is Blind: Brazil
"Newly Rich, Newly Poor: Season 1",No,,49.2,Spanish,,,,"Newly Rich, Newly Poor"
The Lincoln Lawyer: Season 1,Yes,2022-05-13,49.2,English,2022.0,14.0,3.5142857142857147,The Lincoln Lawyer
Brooklyn Nine-Nine: Season 4,No,,48.9,English,,,,Brooklyn Nine-Nine
Cobra Kai: Season 5,Yes,2022-09-09,48.9,English,2022.0,10.0,4.89,Cobra Kai
Orange Is the New Black: Season 1,Yes,2013-07-11,48.8,English,2013.0,121.0,0.4033057851239669,Orange Is the New Black
Shooter: Season 1,No,2016-11-16,48.6,English,2016.0,81.0,0.6,Shooter
El final del paraíso: Season 1,No,,48.6,English,,,,El final del paraíso
Brooklyn Nine-Nine: Season 5,No,,48.5,English,,,,Brooklyn Nine-Nine
Rosario Tijeras (Mexico): Season 1,No,,48.5,English,,,,Rosario Tijeras (Mexico)
The Smurfs (2021): Season 1,No,,48.4,English,,,,The Smurfs (2021)
Emily in Paris: Season 1,Yes,2020-10-02,48.3,English,2020.0,33.0,1.4636363636363636,Emily in Paris
